Lot,Final Bid
51726521.0,9800.0
55077721.0,2850.0
55365941.0,3850.0
48019571.0,4600.0
57060631.0,3150.0
49497321.0,6100.0
55030931.0,6300.0
52139891.0,6300.0
52483791.0,4700.0
50981011.0,2850.0
53187991.0,2250.0
52548321.0,5700.0
52712941.0,6900.0
53166511.0,350.0
55215601.0,4200.0
53649861.0,1750.0
53726051.0,175.0
51634171.0,4600.0
54054141.0,175.0
54825431.0,7600.0
56232941.0,7600.0
52637101.0,5300.0
55905671.0,1150.0
54830691.0,1550.0
55778851.0,1500.0
56500331.0,7200.0
49573951.0,1500.0
57130811.0,1400.0
56032211.0,9000.0
55945791.0,9000.0
52970781.0,1050.0
55688481.0,2300.0
52956861.0,7700.0
54640221.0,1100.0
55079811.0,950.0
52747321.0,2600.0
47512451.0,5400.0
50841051.0,3900.0
55533101.0,2200.0
54675421.0,200.0
53763181,12100.0
53695551,20.0
55048581,950.0
